排污口名称,采样时间,ph,cod,bod,氨氮,总磷,总氮,流量,水温,监测类型
宜昌市高新区白洋镇沙湾路万福闸雨洪入江闸口,,8.50,11.0000,,0.8490,0.2760,,,,快速检测
宜昌市猇亭区湖北楚曜水利水电工程有限公司对面红溪港市政厂区雨水排口,,20.00,3.0000,,0.2000,6.0000,,10000.00,,快速检测
宜昌市枝江市中国石油化肥厂生产废水排污口,,7.90,37.0000,,0.6000,0.2000,,,,快速检测
宜昌市猇亭区横十一路红溪港码头箱涵城镇雨洪排口,,10.00,3.0000,,0.5000,6.0000,,3000.00,,快速检测
宜昌市西陵区沙河铁路桥上游150米工地城镇雨洪排口,,8.00,10.0000,,10.0000,0.5000,,100.00,,快速检测
宜昌市猇亭区海汇码头东南侧60米处马家溪城镇雨洪排口,,13.00,10.0000,,3.0000,5.0000,,500.00,,快速检测
宜昌市点军区五龙大道延伸段大桥搅拌站涵洞城镇雨洪排囗,,,17.0000,,0.6450,0.2700,,,,快速检测
宜昌市猇亭区湖北宜化厂区西北侧点源生产废水排污口,,8.40,9.0000,,0.0900,0.2100,,,,快速检测
宜昌市宜都市姚家店镇城西污水处理厂排污口,,7.60,36.0000,,0.5440,0.1800,,,,快速检测
宜昌市远安县鸣凤镇双利社区道路桥梁下城镇雨洪排口,,6.80,20.0000,,15.6000,1.5200,,,,快速检测
宜昌市猇亭区方家岗横十五路混合城镇雨洪排口,,,38.0000,,0.1660,0.1800,,,,快速检测
宜昌市点军区伍家岗大桥下方城镇雨洪排口,,,5.0000,,1.0000,0.0400,,,,快速检测
宜昌市长阳土家族自治县华新水泥（长阳）有限公司传送带下城镇雨洪排口,,7.00,13.0000,,0.1500,0.1000,,,,快速检测
宜昌市猇亭区柳树河信通电缆厂区北边10米旁市政泄洪厂区雨水排口,,,10.0000,,1.0000,0.2000,,,,快速检测
宜昌市远安县洋坪镇老君村三组大中型灌区排口,,7.20,20.0000,,0.0370,0.0200,,,,快速检测
宜昌市远安县洋坪镇芦溪湾村一组北正路52号左侧大中型灌区排口,,8.10,32.0000,,0.6540,0.1260,,,,快速检测
宜昌市西陵区融创融园拦水坝,,6.70,14.0000,,1.4500,0.3100,,,,实验室检测
宜昌市猇亭区毛家岗东都国际小区北侧100米柳树河生活污水排污口,,7.00,10.0000,,5.0000,8.0000,,500.00,,快速检测
宜昌市远安县旧县镇安鹿村五组电站城镇雨洪排口,,6.80,13.0000,,0.6000,0.1000,,,,快速检测
宜昌市远安县嫘祖镇晒旗村玄庙观生态电站其他排口,,7.60,13.0000,,0.0960,0.0300,,,,快速检测
宜昌市远安县嫘祖镇晒旗村庙儿岗电站其他排口,,7.80,13.0000,,0.2160,0.0200,,,,快速检测
宜昌市远安县鸣凤镇栖凤社区城南壕沟城镇雨洪排口,,7.90,30.0000,,0.6970,0.0600,,,,快速检测
宜昌市远安县旧县镇鹿苑村一组杨家湾沟渠排口,,7.60,7.0000,,0.1660,0.0400,,,,快速检测
宜昌市远安县鸣凤镇凤山社区三组党家湾桥下游300米处城镇雨洪排口,,8.10,20.0000,,1.0210,0.1200,,,,快速检测
宜昌市枝江市宜昌瑞洋机械有限公司2号排口,,5.00,5.0000,,0.2000,0.0000,,10.00,,快速检测
宜昌市猇亭区虎牙张家湾泄洪沟城镇雨洪排口,,25.00,1.0000,,3.5000,6.0000,,500.00,,快速检测
宜昌市远安县鸣凤镇唐本草公司背后山羊冲桥下城镇雨洪排口,,6.90,7.0000,,1.1520,0.1000,,,,快速检测
宜昌市远安县鸣凤镇花园村铁路高架桥下大中型灌区排口,,6.90,28.0000,,1.2000,0.1300,,,,快速检测
宜昌市远安县茅坪场镇瓦仓村六组种植业排口,,7.60,8.0000,,0.2510,0.0100,,,,快速检测
宜昌市西陵区二十五中对面河道溢流口,,7.80,14.0000,,0.8600,0.0900,3.4000,,14.80,实验室监测
宜昌市宜都市五眼泉镇关山垴东北230米处沟渠,,8.00,5.0000,,1.0900,0.4000,,,,快速检测
宜昌市当阳市黄家湾水电站橡胶坝北侧沟渠排口,,7.10,28.0000,,1.9600,0.2300,4.8500,,,实验室检测
宜昌市远安县旧县镇董家村三组高架桥下沟渠排口,,7.70,5.0000,,0.0310,0.0200,,,,快速检测
宜昌市长阳土家族自治县龙舟坪镇龙舟大道231号城镇生活污水散排口,,5.00,30.0000,,8.0000,5.0000,,3000.00,,快速检测
八里荒西340米其它排口,,7.81,6.0000,,0.1840,0.0200,,,,实验室监测
宜昌市西陵区南苑街道韦家嘴水电站东60米雨水排口,,7.60,7.0000,,0.6130,0.3100,5.4200,,,实验室检测
宜昌市高新区白洋镇善溪冲入江沟渠排口,,7.60,10.0000,,1.6900,0.3380,,,,快速检测
清水湾村委会东南740米其它排口,,7.74,5.0000,,0.2930,0.1300,,,,实验室监测
宜昌市枝江市宜昌鑫达工贸东北角雨水排口,,8.00,16.0000,,0.4350,0.0800,2.0000,,,快速检测
宜昌市当阳市清水桥东路朱湾闸排口,,7.00,8.0000,,0.4300,0.0800,,,,快速检测
九里坪村3组38号东50米其它排口,,7.65,5.0000,,0.1200,0.0000,,,,实验室监测
八里荒东北110米其它排口,,7.75,6.0000,,0.1840,0.0200,,,,实验室监测
宜昌市五峰县五峰众鑫汽修西北侧约540米处雨洪排口,,7.44,8.0000,,0.2550,0.0600,,,,实验室监测
宜昌市宜都市陆城街道东阳光药业2号地生产废水排污口,,8.00,8.0000,,6.0000,0.1000,,4000.00,,快速检测
宜昌市当阳市玉阳街道金沙中桥东侧110米涵闸排口,,7.40,12.0000,,0.3620,0.0700,,,,快速检测
宜昌市远安县河口乡河口村河茅公路沿线支流其他排口,,7.70,6.0000,,0.0530,0.0200,,,,快速检测
宜昌市远安县旧县镇安鹿村五组安鹿电站下游大中型灌区排口,,6.60,37.0000,,0.4000,0.0500,,,,快速检测
宜昌市远安县茅坪场镇长荣村一组电站其他排口,,7.70,5.0000,,0.0480,0.0100,,,,快速检测
宜昌市长阳土家族自治县偏子岩西侧500米九竹街沟城镇雨洪排口,,8.00,6.0000,,0.0400,0.0100,1.1000,,,实验室监测
宜昌市猇亭区织布街西30米长江东岸20米柳树河入江城镇雨洪排口,,8.00,8.0000,,0.6000,6.0000,,10000.00,,快速检测
