area_name,county_name,outlet_address
樟村坪镇,夷陵区,宜昌市夷陵区邓村乡白云寺大桥南侧600米
邓村乡,夷陵区,宜昌市夷陵区邓村乡黄金河小桥
邓村乡,夷陵区,宜昌市夷陵区邓村古城一级电站
雾渡河镇,夷陵区,宜昌市夷陵区雾渡河镇清江坪村
邓村乡,夷陵区,宜昌市夷陵区邓村乡117乡道旁
邓村乡,夷陵区,宜昌市夷陵区邓村乡117乡道岔口
邓村乡,夷陵区,宜昌市夷陵区邓村乡白云寺大桥南侧500米
小溪塔街道办事处,夷陵区,宜昌市西陵区神仙湾公园
鸦鹊岭镇,夷陵区,湖北省宜昌市夷陵区桔乡大道8号柳树沟化工科技公司（西南门）
鸦鹊岭镇,夷陵区,宜昌市夷陵区白河西路8号中孚化肥厂
鸦鹊岭镇,夷陵区,宜昌市夷陵区138乡道姜家湾
鸦鹊岭镇,夷陵区,宜昌市夷陵区童畈一队
鸦鹊岭镇,夷陵区,宜昌市夷陵区赵家山子
鸦鹊岭镇,夷陵区,宜昌市夷陵区郭勇草莓
鸦鹊岭镇,夷陵区,宜昌市夷陵区鸦南出口（G59呼北高速南向）
鸦鹊岭镇,夷陵区,宜昌市夷陵区张家塝
三斗坪镇,夷陵区,湖北省宜昌市夷陵区三斗坪镇滨江假日酒店(三峡大坝店)
茅坪镇,夷陵区,茅坪镇圆梦家园B区
中堡村,夷陵区,湖北省宜昌市秭归县茅坪镇迎宾路170号
小溪塔街道,夷陵区,宜昌市夷陵区峡口风景区
