table_name,column_name,data_type
chunk,status,integer
compressed_chunk_stats,compression_status,text
continuous_agg_migrate_plan_step,status,text
dc_survey_offline_sync,sync_status,integer
dc_survey_offline_upload,upload_status,smallint
dc_survey_task,status,integer
hypertable,status,integer
job_stats,last_run_status,text
job_stats,job_status,text
layer_outlet_sewage,id,integer
layer_outlet_sewage,x,double precision
layer_outlet_sewage,y,double precision
layer_outlet_sewage,name,character varying
layer_outlet_sewage,code,character varying
layer_outlet_sewage,jcdbh,character varying
layer_outlet_sewage,geom,USER-DEFINED
pg_replication_slots,wal_status,text
pg_stat_wal_receiver,status,text
rs_enterprise_info_lsg,product_status,character varying
rs_industrial_info_yc,park_development_status,character varying
rs_industrial_info_yc,park_drainage_status,character varying
rs_industrial_info_yc,rectification_status,text
rs_outlet,id,bigint
rs_outlet,area_code,character varying
rs_outlet,area_name,character varying
rs_outlet,county_name,character varying
rs_outlet,outlet_code,character varying
rs_outlet,outlet_name,character varying
rs_outlet,river_basin,character varying
rs_outlet,outlet_address,character varying
rs_outlet,outlet_lon,double precision
rs_outlet,outlet_lat,double precision
rs_outlet,catalog_level_1,character varying
rs_outlet,catalog_level_2,character varying
rs_outlet,catalog_level_3,character varying
rs_outlet,river_system,character varying
rs_outlet,outlet_owner_river,character varying
rs_outlet,is_flow_lake,character
rs_outlet,lake_name,character varying
rs_outlet,is_key_river,character
rs_outlet,key_river_name,character varying
rs_outlet,is_water_function,character
rs_outlet,water_function_level1,character varying
rs_outlet,water_quality_target1,character varying
rs_outlet,water_function_level2,character varying
rs_outlet,water_quality_target2,character varying
rs_outlet,is_water_environment,character
rs_outlet,water_enviroment_function,character varying
rs_outlet,water_enviroment_target,character varying
rs_outlet,country_section_name,character varying
rs_outlet,province_section_name,character varying
rs_outlet,city_section_name,character varying
rs_outlet,river_info,character varying
rs_outlet,outlet_shape,character varying
rs_outlet,drain_feature,character varying
rs_outlet,is_drain_abnormal,character
rs_outlet,drain_abnormal_desc,character varying
rs_outlet,is_monitor_sample,character
rs_outlet,primary_obligor,character varying
rs_outlet,primary_obligor_address,character varying
rs_outlet,other_obligor,character varying
rs_outlet,primary_obligor_lon,double precision
rs_outlet,primary_obligor_lat,double precision
rs_outlet,primary_obligor_contact,character varying
rs_outlet,primary_obligor_phone,character varying
rs_outlet,is_drain_toxic,character
rs_outlet,sewage_type,character varying
rs_outlet,is_large,character varying
